[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:40,804 | After merging custom hotkeys: Key sequence Shift+C defined by trimSelectAudioEditPoint and clipShowCurveEditor
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:40,804 | After merging custom hotkeys: Key sequence Ctrl+Shift+. defined by editNudgeSwapEditForward and viewStereoSwitchEyeRight
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:40,805 | After merging custom hotkeys: Key sequence Left defined by controlStepReverse and fairlightActionsJumpLeft
[0x000022ec] | UI.KeyBindings       | WARN  | 2017-09-28 01:34:40,805 | After merging custom hotkeys: Key sequence Right defined by controlStepForward and fairlightActionsJumpRight
[0x000022ec] | SyManager.Signals    | INFO  | 2017-09-28 01:34:40,859 | Main view page is changed to 2
[0x000022ec] | UI                   | WARN  | 2017-09-28 01:34:41,623 | Layout is disabled.
[0x000022ec] | UI                   | WARN  | 2017-09-28 01:34:41,624 | Layout is disabled.
[0x000018a8] | Undefined            | INFO  | 2017-09-28 01:35:12,614 | --------------------------------------------------------------------------------
[0x000018a8] | Undefined            | INFO  | 2017-09-28 01:35:12,614 | Loaded log config from C:\ProgramData\Blackmagic Design\DaVinci Resolve\Preferences\log-conf.xml
[0x000018a8] | Undefined            | INFO  | 2017-09-28 01:35:12,614 | --------------------------------------------------------------------------------
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:12,639 | Resolve Module Handle 00007FF6C2E40000
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:14,751 | Updating display GPU information...
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:14,825 | Found correct name from registry for device : I, provider Intel Corporation
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:14,825 | Found Intel Device: Intel(R) Iris(TM) Graphics 540
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:14,826 | GPU Intel(R) Iris(TM) Graphics 540 is used for display
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:14,866 | GPUs detected: 1 integrated, 0 discrete, 1 OpenCL.Graphics interop capable.
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:14,866 | Detected uptime 747s
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:14,866 | GPU Name = 'Intel(R) Iris(TM) Graphics 540', Main display = 1
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:14,867 | Only 1 Intel display GPU found. Using OPENCL for processing.
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:14,867 | Setting LsManager.3.NumGPUs = 1
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:14,867 | Setting LsManager.3.DisplayGPUName = Intel(R) Iris(TM) Graphics 540
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:14,867 | Setting LsManager.3.DisplayGPUIndex = 0
[0x000018a8] | IO                   | INFO  | 2017-09-28 01:35:14,867 | RED InitializeSdk with library path at C:\ProgramData\Blackmagic Design\DaVinci Resolve\Support\Libraries
[0x000018a8] | IO                   | INFO  | 2017-09-28 01:35:14,878 | Red SDK init is successful
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:14,879 | 0 RED rocket cards available
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:14,879 | Setting Local.DtManager.1.Red.Threads = 0
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:14,891 | Decklink model name: '', version: ''
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:14,892 | Installed custom font: Open Sans
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:14,893 | Installed custom font: Open Sans Semibold
[0x000018a8] | Main                 | INFO  | 2017-09-28 01:35:15,081 | Finished loading Application style sheet
[0x000018fc] | LeManager            | INFO  | 2017-09-28 01:35:15,495 | 521, 38
[0x000018a8] | BtCommon             | INFO  | 2017-09-28 01:35:16,428 | Memory config: reserved=4000M pinned=3000M log=0
[0x000018a8] | BtCommon             | INFO  | 2017-09-28 01:35:16,429 | Using default pooled memory manager
[0x000018a8] | BtCommon             | INFO  | 2017-09-28 01:35:16,509 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x000018a8] | BtCommon             | INFO  | 2017-09-28 01:35:16,566 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
[0x000018a8] | BtCommon             | INFO  | 2017-09-28 01:35:16,632 | Starting Daemon: C:/Program Files/Blackmagic Design/DaVinci Resolve/DPDecoder.exe
