@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
345,'2018/03/13 16:16:41:371',4,39,39,1,1,1
346,'2018/03/13 16:16:41:388',4,39,39,1,1,1
347,'2018/03/13 16:16:41:405',4,39,39,1,1,1
348,'2018/03/13 16:16:41:421',4,39,39,1,1,1
349,'2018/03/13 16:16:41:438',4,39,39,1,1,1
350,'2018/03/13 16:16:41:455',4,39,39,1,1,1
351,'2018/03/13 16:16:41:471',4,39,39,1,1,1
352,'2018/03/13 16:16:41:488',4,39,39,1,1,1
353,'2018/03/13 16:16:41:505',4,39,39,1,1,1
354,'2018/03/13 16:16:41:521',4,39,39,1,1,1
355,'2018/03/13 16:16:41:538',4,39,39,1,1,1
356,'2018/03/13 16:16:41:555',4,39,39,1,1,1
357,'2018/03/13 16:16:41:571',4,39,39,1,1,1
358,'2018/03/13 16:16:41:588',4,39,39,1,1,1
359,'2018/03/13 16:16:41:604',4,39,39,1,1,1
360,'2018/03/13 16:16:41:621',4,39,39,1,1,1
361,'2018/03/13 16:16:41:638',4,39,39,1,1,1
362,'2018/03/13 16:16:41:654',4,39,39,1,1,1
363,'2018/03/13 16:16:41:671',4,39,39,1,1,1
364,'2018/03/13 16:16:41:688',4,39,39,1,1,1
365,'2018/03/13 16:16:41:704',4,39,39,1,1,1
366,'2018/03/13 16:16:41:723',4,39,39,1,1,1
367,'2018/03/13 16:16:41:738',4,39,39,1,1,1
368,'2018/03/13 16:16:41:754',4,39,39,1,1,1
369,'2018/03/13 16:16:41:771',4,39,39,1,1,1
370,'2018/03/13 16:16:41:788',4,39,39,1,1,1
371,'2018/03/13 16:16:41:804',4,39,39,1,1,1
372,'2018/03/13 16:16:41:821',4,39,39,1,1,1
373,'2018/03/13 16:16:41:838',4,39,39,1,1,1
374,'2018/03/13 16:16:41:855',4,39,39,1,1,1
375,'2018/03/13 16:16:41:871',4,39,39,1,1,1
376,'2018/03/13 16:16:41:888',4,39,39,1,1,1
377,'2018/03/13 16:16:41:905',4,39,39,1,1,1
378,'2018/03/13 16:16:41:921',4,39,39,1,1,1
379,'2018/03/13 16:16:41:938',4,39,39,1,1,1
380,'2018/03/13 16:16:41:954',4,39,39,1,1,1
381,'2018/03/13 16:16:41:971',4,39,39,1,1,1
